weekday;inscription;name;address
SEXTA-FEIRA;61220;ZONA LESTE SEXTA-FEIRA;RUA ANTONIO CRESPO, S/N,COHAB II,SÃO PAULO
SEXTA-FEIRA;61280;VILA RAMOS SEXTA-FEIRA;AV AUGUSTO ANTUNES, S/N,VL RAMOS,SÃO PAULO
SEXTA-FEIRA;61735;JARDIM HELIAN SEXTA-FEIRA;RUA MANOEL BACELAR,JARDIM HELIAN,SÃO PAULO
SÁBADO;70386;CIDADE LIDER SÁBADO;RUA FRANCISCO MUNHOZ FILHO, 501,CID LIDER,SÃO PAULO
SÁBADO;70521;XV DE NOVEMBRO SÁBADO;RUA IBIAJARA, 478,PARADA XV NOVEMBRO,SÃO PAULO
SÁBADO;70874;VILA MASTROCOLA SÁBADO;RUA PROF BRITO MACHADO, 196,VL MASTROCOLA,SÃO PAULO
SÁBADO;71153;CONJ RESIDENCIAL DE ITAQUERA SÁBADO;RUA LAURA BOSSI, S/N,ITAQUERA COHAB II,SÃO PAULO
SÁBADO;71714;JD.SANTA TEREZINHA SÁBADO;RUA CAMPO DE VINHA, S/N,JD STA TEREZINHA,SÃO PAULO
SÁBADO;72109;PARQUE SAVOY CITY SÁBADO;RUA DR CELSO PACHECO BETIM, S/N,PQ SAVOY CITY,SÃO PAULO
SÁBADO;72176;VILA VERDE SÁBADO;RUA BARAO DE GODOFREDO, S/N,VL VERDE,SÃO PAULO
SÁBADO;72389;CONJUNTO HAB FAZENDA DO CARMO SÁBADO;RUA PROF HASEGAWA,GUAIANAZES,SÃO PAULO
SÁBADO;72397;JARDIM ITAPEMIRIM SÁBADO;RUA DR OLIVIO MONTENEGRO,JARDIM ITAPEMIRIM,SÃO PAULO
SÁBADO;72656;VILA CARMOSINA SÁBADO;RUA LAGOA FEIA,VILA CARMOSINA,SÃO PAULO
DOMINGO;10448;CIDADE VARGAS DOMINGO;PC NOVA AMERICA, 15-A,CID VARGAS,SÃO PAULO
DOMINGO;10677;SAO JOSE DOMINGO;RUA HUGO VITOR DA SILVA, S/N,AMERICANOPOLIS,SÃO PAULO
DOMINGO;10766;SANTA CATARINA DOMINGO;RUA ALBA, 302,STA CATARINA,SÃO PAULO
DOMINGO;12580;AGUA FUNDA DOMINGO;VD MATEUS TORLONI,JABAQUARA,SÃO PAULO
TERÇA-FEIRA;30376;VILA GUARANI TERÇA-FEIRA;AV WALDOMIRO DE LIMA, S/N,VL GUARANI,SÃO PAULO
QUARTA-FEIRA;40355;NHANDIROBAS QUARTA-FEIRA;RUA GRUMIXAMAS, 374,VL GUARANI,SÃO PAULO
QUARTA-FEIRA;41556;JABAQUARA QUARTA-FEIRA;AV ENG ARMANDO DE ARRUDA PEREIRA, S/N,JABAQUARA,SÃO PAULO
QUINTA-FEIRA;50423;SANTA CATARINA QUINTA-FEIRA;RUA FRANKLIN MAGALHAES, 273,STA CATARINA,SÃO PAULO
QUINTA-FEIRA;50628;VILA FACCHINI QUINTA-FEIRA;RUA LUIZ CARLOS FACCHINI, 50,VL FACCHINI,SÃO PAULO
QUINTA-FEIRA;51080;VILA CAMPESTRE QUINTA-FEIRA;RUA ROSALIA DE CASTRO, 559,VL CAMPESTRE,SÃO PAULO
SEXTA-FEIRA;60330;AMERICANOPOLIS SEXTA-FEIRA;RUA DEODORO DE CAMPOS, 12,JABAQUARA,SÃO PAULO
SEXTA-FEIRA;60577;CIDADE LEONOR SEXTA-FEIRA;RUA TEJUPA, S/N,JABAQUARA,SÃO PAULO
SÁBADO;70017;APACE SÁBADO;RUA APACE, 372,JABAQUARA,SÃO PAULO
SÁBADO;70254;VILA GUARANI SÁBADO;AV DIEDERICHSEN, 45,VL GUARANI,SÃO PAULO
DOMINGO;10260;JACANA DOMINGO;RUA BENJAMIM PEREIRA, 521,JACANA,SÃO PAULO
DOMINGO;11177;FURNAS DOMINGO;AV ANTONELO DA MESSINA, S/N,VL ZILDA,SÃO PAULO
DOMINGO;11355;PENAFORTE DOMINGO;RUA PENAFORTE, S/N,JD PAULISTANA,SÃO PAULO
DOMINGO;11908;CONJUNTO JOVA RURAL DOMINGO;RUA ARI DA ROCHA MIRANDA, S/N,VL NOVA GALVAO,SÃO PAULO
